"PROPINSI_ID","PROPINSI_CODE","PROPINSI_NAME","REGION_ID"
"34","65","Kalimantan Utara","3"
"1","11","Nanggroe Aceh Darussalam","1"
"2","12","Sumatera Utara","1"
"3","13","Sumatera Barat","1"
"4","14","Riau","1"
"5","15","Jambi","2"
"6","16","Sumatera Selatan","2"
"7","17","Bengkulu","2"
"8","18","Lampung","2"
"9","19","Kep. Bangka Belitung","2"
"10","21","Kep. Riau","1"
"11","31","DKI Jakarta","2"
"12","32","Jawa Barat","2"
"13","33","Jawa Tengah","2"
"14","34","DI Yogyakarta","2"
"15","35","Jawa Timur","3"
"16","36","Banten","2"
"17","51","Bali","3"
"18","52","Nusa Tenggara Barat","3"
"19","53","Nusa Tenggara Timur","3"
"20","61","Kalimantan Barat","2"
"21","62","Kalimantan Tengah","3"
"22","63","Kalimantan Selatan","3"
"23","64","Kalimantan Timur","3"
"24","71","Sulawesi Utara","4"
"25","72","Sulawesi Tengah","4"
"26","73","Sulawesi Selatan","4"
"27","74","Sulawesi Tenggara","4"
"28","75","Gorontalo","4"
"29","76","Sulawesi Barat","4"
"30","81","Maluku","4"
"31","82","Maluku Utara","4"
"32","91","Papua","5"
"33","92","Papua Barat","5"
